STN_NAM,STN_NAM_DE,TYP_CD,TYP_CD_DES,latitude,longitude
,BISHAN MRT STATION,0,MRT,1.3512585801414707,103.84922134145289
,MERIDIAN LRT STATION,0,LRT,1.3968523389882463,103.9089909384386
,NEWTON MRT STATION,0,MRT,1.3135013088820122,103.83808187976679
,TAMPINES WEST MRT STATION,0,MRT,1.3455175070559062,103.93842947023016
,DOVER MRT STATION,0,MRT,1.3113946902024545,103.77864915471717
,TAI SENG FACILITY BUILDING,0,MRT,1.342182960237819,103.89520334039602
,HUME MRT STATION,0,MRT,1.3545108356908862,103.76910392894219
,TANJONG PAGAR MRT STATION,0,MRT,1.2765150315321856,103.84585358288648
,ONE-NORTH MRT STATION,0,MRT,1.2996564797249786,103.78739399265648
,SERANGOON MRT STATION,0,MRT,1.350531071084067,103.87246307178015
,WOODLANDS MRT STATION,0,MRT,1.4360746298465863,103.78791746819398
,SUMANG LRT STATION,0,LRT,1.4083532967892578,103.89851028672845
,MARSILING MRT STATION,0,MRT,1.432565168493744,103.77419400267017
,NIBONG LRT STATION,0,LRT,1.4117555853860446,103.90029894785505
,PUNGGOL COAST MRT STATION,0,MRT,1.4149380394837505,103.91021788525438
,DAMAI LRT STATION,0,LRT,1.4053160221271888,103.90850357748774
,KANGKAR LRT STATION,0,LRT,1.3840307669573126,103.9022575510165
,FARMWAY LRT STATION,0,LRT,1.3971619025463682,103.88938286082434
,BUKIT BATOK MRT STATION,0,MRT,1.3489966464765977,103.74954065609143
,SPRINGLEAF MRT STATION,0,MRT,1.3981083796325406,103.81792447394808
,LITTLE INDIA MRT STATION,0,MRT,1.3071673591544735,103.84861049933687
,BEAUTY WORLD MRT STATION,0,MRT,1.3412035628392058,103.7758189767781
,TUAS DEPOT,0,MRT,1.3403973493409589,103.64179532381276
,TUAS WEST ROAD MRT STATION,0,MRT,1.3299818232185678,103.63962756173379
,BUONA VISTA MRT STATION,0,MRT,1.306483702355235,103.7906326606327
,TANAH MERAH MRT STATION,0,MRT,1.3272540817496303,103.94654794348907
,RENJONG LRT STATION,0,LRT,1.3867475130708717,103.89042878846143
,TONGKANG LRT STATION,0,LRT,1.3893387808238744,103.88593735843365
,SENGKANG MRT STATION,0,MRT,1.3915276818529247,103.89541608065163
,BAKAU LRT STATION,0,LRT,1.3881050155247978,103.90552634675285
,BUKIT PANJANG MRT STATION,0,MRT,1.3791601963537945,103.76157274070911
,FARRER PARK MRT STATION,0,MRT,1.3124482280720493,103.85427015852864
,BAYSHORE MRT STATION,0,MRT,1.3128409590684063,103.94159671907613
,PETIR LRT STATION,0,LRT,1.3777546489440127,103.76666731244109
,KEMBANGAN MRT STATION,0,MRT,1.3210380695530994,103.91294752872142
,COMPASSVALE LRT STATION,0,LRT,1.3944787833870553,103.90055527745308
,KAKI BUKIT MRT STATION,0,MRT,1.334962978722589,103.90845515820637
,BUKIT PANJANG LRT STATION,0,LRT,1.377916447661042,103.76302226936087
,EUNOS MRT STATION,0,MRT,1.3197792312203953,103.90336181821488
,PASIR PANJANG MRT STATION,0,MRT,1.2762296702266405,103.79134196561127
,TOA PAYOH MRT STATION,0,MRT,1.3326773928628122,103.84742121681766
,KHATIB MRT STATION,0,MRT,1.4175768084579758,103.83303805979354
,MATTAR MRT STATION,0,MRT,1.326865682047424,103.8832530587646
,FORT CANNING MRT STATION,0,MRT,1.29247159418739,103.84432545097265
,FERNVALE LRT STATION,0,LRT,1.3919441923195075,103.8762796567888
,HOLLAND VILLAGE MRT STATION,0,MRT,1.3119456175684163,103.79623333614452
,KUPANG LRT STATION,0,LRT,1.398197578094029,103.88137428295973
,CHENG LIM LRT STATION,0,LRT,1.3962489157479199,103.893907907984
,YIO CHU KANG MRT STATION,0,MRT,1.3817576067505848,103.84480082307924
,SEMBAWANG MRT STATION,0,MRT,1.4490696336261917,103.82019386200804
,LAYAR LRT STATION,0,LRT,1.3920928719080308,103.8801578752352
,RANGGUNG LRT STATION,0,LRT,1.383921479221639,103.89749260335877
,MARINA SOUTH MRT STATION,0,MRT,1.274257261306452,103.86335054815311
,KRANJI MRT STATION,0,MRT,1.4252396284301345,103.76218063446385
,SOMERSET MRT STATION,0,MRT,1.3002576148872893,103.83907542823792
,CALDECOTT MRT STATION,0,MRT,1.3376585473840519,103.83954121424598
,CHOA CHU KANG LRT STATION,0,LRT,1.3848220118754533,103.7445491165191
,PENDING LRT STATION,0,LRT,1.376126537885211,103.77127974987839
,GREAT WORLD MRT STATION,0,MRT,1.2945316924997876,103.8334469188719
,PAYA LEBAR MRT STATION,0,MRT,1.3181133870198771,103.893048869324
,SENGKANG LRT DEPOT,0,LRT,1.3893620203499266,103.88453517650844
,RUMBIA LRT STATION,0,LRT,1.3915644449760405,103.90589048258124
,PHOENIX LRT STATION,0,LRT,1.3786249495719132,103.75803362351209
,GARDENS BY THE BAY MRT STATION,0,MRT,1.2791345487786812,103.86791502027644
,TAI SENG MRT STATION,0,MRT,1.335453103426246,103.88816447575384
,YISHUN MRT STATION,0,MRT,1.4295817515506557,103.83497216232342
,LAKESIDE MRT STATION,0,MRT,1.344263149540824,103.72096531654944
,DAKOTA MRT STATION,0,MRT,1.308375154612584,103.88866829975021
,CALDECOTT MRT STATION,0,MRT,1.337317246366716,103.84013848432808
,DOWNTOWN MRT STATION,0,MRT,1.2794414873754527,103.85285112531476
,TIONG BAHRU MRT STATION,0,MRT,1.2862197400979305,103.82703434049274
,WOODLANDS MRT STATION,0,MRT,1.4368311606625184,103.78616372603737
,CHINESE GARDEN MRT STATION,0,MRT,1.3421449755687653,103.73281439463327
,PASIR RIS MRT STATION,0,MRT,1.3729518782753694,103.94925763874568
,WOODLANDS NORTH MRT STATION,0,MRT,1.4483500984116708,103.78567472144645
,ORCHARD BOULEVARD MRT STATION,0,MRT,1.3026330241904616,103.823857648423
,GALI BATU DEPOT,0,MRT,1.397585030511293,103.75609202474625
,BARTLEY MRT STATION,0,MRT,1.3428468440490704,103.87972518695331
,CITY HALL MRT STATION,0,MRT,1.2929332373179714,103.85260850433082
,TAMPINES MRT STATION,0,MRT,1.3551430033946217,103.94301596865165
,TAN KAH KEE MRT STATION,0,MRT,1.325870604229401,103.80733086504326
,MACPHERSON MRT STATION,0,MRT,1.3263680374724247,103.8902614966788
,BOON KENG MRT STATION,0,MRT,1.319447089794796,103.86168108554558
,SEGAR LRT STATION,0,LRT,1.3877564079136788,103.76965965329231
,CASHEW MRT STATION,0,MRT,1.3693615843866318,103.764697190451
,PROMENADE MRT STATION,0,MRT,1.2932501667687821,103.86099644328421
,GUL CIRCLE MRT STATION,0,MRT,1.3195643150080114,103.66059386923435
,PROMENADE MRT STATION,0,MRT,1.292798201425402,103.86086463575323
,BUONA VISTA MRT STATION,0,MRT,1.307258320814176,103.78994228647687
,UPPER THOMSON MRT STATION,0,MRT,1.3544050509835366,103.83292375518657
,SIXTH AVENUE MRT STATION,0,MRT,1.3307848576940493,103.79732046037195
,BRIGHT HILL MRT STATION,0,MRT,1.3632672644872679,103.83293672069622
,BUGIS MRT STATION,0,MRT,1.3006268207776863,103.85583934808157
,ANG MO KIO MRT STATION,0,MRT,1.3699486592367585,103.84961635274853
,MARYMOUNT MRT STATION,0,MRT,1.3487766563336752,103.83941284497998
,BUGIS MRT STATION,0,MRT,1.2994506649680497,103.85688639294669
,WOODLEIGH MRT STATION,0,MRT,1.3392070868490664,103.87080919003132
,CANBERRA MRT STATION,0,MRT,1.443118375071634,103.82971481727097
,SIMEI MRT STATION,0,MRT,1.3431974420450155,103.95337711665204
,ESPLANADE MRT STATION,0,MRT,1.2932599000663396,103.85561173042052
,LITTLE INDIA MRT STATION,0,MRT,1.307155495228411,103.84984510846166
,BENDEMEER MRT STATION,0,MRT,1.313644996138441,103.86289119742757
,BISHAN MRT STATION,0,MRT,1.350838384846001,103.84814352689553
,LORONG CHUAN MRT STATION,0,MRT,1.3516197559636765,103.86414412662485
,SENGKANG LRT STATION,0,LRT,1.3911355952804314,103.89533724206879
,COMMONWEALTH MRT STATION,0,MRT,1.3024476462642753,103.79829071885234
,NAPIER MRT STATION,0,MRT,1.3067313563517282,103.81903764053035
,GEYLANG BAHRU MRT STATION,0,MRT,1.321512886473058,103.87191146437564
,NEWTON MRT STATION,0,MRT,1.3123222843801865,103.83798766432476
,OUTRAM PARK MRT STATION,0,MRT,1.2814122822842724,103.83914018201551
,OUTRAM PARK MRT STATION,0,MRT,1.2797977735000916,103.83944001259357
,CLARKE QUAY MRT STATION,0,MRT,1.2885422164868592,103.84660479386079
,BEDOK RESERVOIR MRT STATION,0,MRT,1.3365987356701163,103.9322875466107
,BRAS BASAH MRT STATION,0,MRT,1.296826773546934,103.8506555108256
,MARINE TERRACE MRT STATION,0,MRT,1.3067861811816301,103.91531584048278
,MARINA BAY MRT STATION,0,MRT,1.2765175165131304,103.85461224774451
,BEDOK NORTH MRT STATION,0,MRT,1.3347556340938223,103.91787672260602
,HARBOURFRONT MRT STATION,0,MRT,1.2651641763880486,103.82156639036808
,CHANGI AIRPORT MRT STATION,0,MRT,1.3573079308899296,103.98837058069066
,BRADDELL MRT STATION,0,MRT,1.340444114135493,103.84679989874851
,ROCHOR MRT STATION,0,MRT,1.3039275602603924,103.85243888560674
,CLEMENTI MRT STATION,0,MRT,1.3150782270468715,103.76523302840816
,MACPHERSON MRT STATION,0,MRT,1.326090619996311,103.88937168384615
,MARINA SOUTH PIER MRT STATION,0,MRT,1.2713773811547293,103.86291089299382
,TUAS LINK MRT STATION,0,MRT,1.340379947228605,103.63681865756926
,STEVENS MRT STATION,0,MRT,1.319385743101476,103.82556219129712
,SENJA LRT STATION,0,LRT,1.3826992411122827,103.7623687540139
